CAISO 5-Minute Real-Time Locational Marginal Prices ($/megawatt) for Zones
5-minute real-time locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2024-01-01 08:05:00,2024-01-01 00:00:00,2024-01-01 00:05:00,2024-01-01,1,46.59056,45.18881,45.48952,0.70759,0.70759,0.70759,46.26233,46.26233,46.26233,-0.37935,-1.7811,-1.48039
2024-01-01 08:10:00,2024-01-01 00:05:00,2024-01-01 00:10:00,2024-01-01,1,47.11711,45.69934,46.00348,0.7095,0.7095,0.7095,46.7913,46.7913,46.7913,-0.38369,-1.80147,-1.49732
2024-01-01 08:15:00,2024-01-01 00:10:00,2024-01-01 00:15:00,2024-01-01,1,47.11711,45.69934,46.00348,0.7095,0.7095,0.7095,46.7913,46.7913,46.7913,-0.38369,-1.80147,-1.49732
2024-01-01 08:20:00,2024-01-01 00:15:00,2024-01-01 00:20:00,2024-01-01,1,46.98669,45.61815,45.95445,0.68994,0.68994,0.68994,46.70778,46.70778,46.70778,-0.41103,-1.77957,-1.44327
2024-01-01 08:25:00,2024-01-01 00:20:00,2024-01-01 00:25:00,2024-01-01,1,46.98669,45.61815,45.95445,0.68994,0.68994,0.68994,46.70778,46.70778,46.70778,-0.41103,-1.77957,-1.44327
2024-01-01 08:30:00,2024-01-01 00:25:00,2024-01-01 00:30:00,2024-01-01,1,46.74266,45.38131,45.71584,0.68916,0.68916,0.68916,46.46236,46.46236,46.46236,-0.40887,-1.77022,-1.43569
2024-01-01 08:35:00,2024-01-01 00:30:00,2024-01-01 00:35:00,2024-01-01,1,46.69559,45.14862,45.54231,0.70809,0.70809,0.70809,46.31635,46.31635,46.31635,-0.32885,-1.87581,-1.48212
2024-01-01 08:40:00,2024-01-01 00:35:00,2024-01-01 00:40:00,2024-01-01,1,46.48712,44.94712,45.33904,0.70688,0.70688,0.70688,46.1076,46.1076,46.1076,-0.32736,-1.86736,-1.47544
2024-01-01 08:45:00,2024-01-01 00:40:00,2024-01-01 00:45:00,2024-01-01,1,46.37458,44.83806,45.22909,0.69775,0.69775,0.69775,46.00345,46.00345,46.00345,-0.32662,-1.86314,-1.47211
2024-01-01 08:50:00,2024-01-01 00:45:00,2024-01-01 00:50:00,2024-01-01,1,46.12097,44.63391,44.98165,0.70399,0.70399,0.70399,45.75557,45.75557,45.75557,-0.33859,-1.82565,-1.4779
2024-01-01 08:55:00,2024-01-01 00:50:00,2024-01-01 00:55:00,2024-01-01,1,46.1205,44.63344,44.98118,0.70352,0.70352,0.70352,45.75557,45.75557,45.75557,-0.33859,-1.82565,-1.4779
2024-01-01 09:00:00,2024-01-01 00:55:00,2024-01-01 01:00:00,2024-01-01,1,46.09226,44.60612,44.95365,0.70328,0.70328,0.70328,45.72736,45.72736,45.72736,-0.33838,-1.82452,-1.47699
2024-01-01 09:05:00,2024-01-01 01:00:00,2024-01-01 01:05:00,2024-01-01,2,46.95546,44.83046,45.54649,0.72295,0.72295,0.72295,46.19555,46.19555,46.19555,0.03696,-2.08804,-1.37201
2024-01-01 09:10:00,2024-01-01 01:05:00,2024-01-01 01:10:00,2024-01-01,2,46.3077,44.21248,44.91848,0.72295,0.72295,0.72295,45.54831,45.54831,45.54831,0.03644,-2.05878,-1.35278
2024-01-01 09:15:00,2024-01-01 01:10:00,2024-01-01 01:15:00,2024-01-01,2,46.95297,44.82752,45.5437,0.71057,0.71057,0.71057,46.20543,46.20543,46.20543,0.03696,-2.08849,-1.3723
2024-01-01 09:20:00,2024-01-01 01:15:00,2024-01-01 01:20:00,2024-01-01,2,46.86155,44.52273,45.34982,0.71017,0.71017,0.71017,45.9492,45.9492,45.9492,0.20218,-2.13664,-1.30955
2024-01-01 09:25:00,2024-01-01 01:20:00,2024-01-01 01:25:00,2024-01-01,2,46.30823,43.99746,44.81463,0.71016,0.71016,0.71016,45.39832,45.39832,45.39832,0.19975,-2.11102,-1.29385
