Total,Batteries,Biogas,Biomass,Coal,Geothermal,Imports,Large Hydro,Gas,Nuclear,Other,Small Hydro,Solar,Wind
24042.586,-259.6116,178.94783,260.70724,-0.055072464,767.3797,5371.287,3071.4116,9545.278,1882.4753,0,264.25797,0.72753626,2959.7798
24186.475,228.53044,179.02899,260.8087,-0.023188407,767.71014,5244.4756,2961.0552,9443.278,1882.229,0,264.0348,0.76811594,2954.5796
24223.762,439.72174,178.92754,260.07245,-0.07536232,767.7913,5194.067,2922.2522,9365.89,1881.9391,0,263.24637,0.7014493,2949.229
24120.283,393.51593,178.85797,259.84927,-0.08695652,767.86084,5191.7393,2909.8523,9331.458,1881.826,0,262.5884,0.5072464,2942.316
24069.148,321.08405,178.90144,259.7971,-0.089855075,767.8551,5261.2407,2904.426,9294.858,1881.6261,0,262.49277,0.5072464,2936.4492
23961.262,255.68695,178.92174,259.54782,-0.10724638,767.87244,5276.026,2884.797,9263.339,1881.5768,0,262.5797,0.6637681,2930.3564
23856.795,171.08696,178.85797,259.46957,-0.11304348,767.7884,5300.371,2872.2058,9237.945,1881.3942,0,262.4145,0.87246376,2924.5015
23755.768,100.57391,178.92464,259.6203,-0.11014493,767.86084,5314.7827,2865.2898,9205.521,1881.2377,0,262.28696,0.84637684,2918.9333
23663.88,36.588406,178.90434,259.48117,-0.12753624,767.9014,5333.371,2857.6057,9170.5625,1881.0841,0,262.28986,0.43768117,2915.7827
23557.193,-30.605797,178.94493,259.48987,-0.11014493,767.89276,5338.084,2849.8958,9138.035,1880.9072,0,262.23187,-0.10144927,2912.5305
23459.486,-87.46377,178.93623,259.5942,-0.11014493,767.96234,5340.464,2843.458,9103.159,1880.7594,0,262.31595,-0.35652173,2910.768
23359.908,-128.55942,179.0203,259.72174,-0.09855072,767.88403,5341.023,2830.4028,9061.605,1880.5913,0,262.28406,-0.6086956,2906.6406
23263.059,-137.47536,179.10724,259.92175,-0.09565217,768.0348,5332.1274,2809.0173,9009.557,1880.484,0,262.21448,-0.82608694,2900.9912
23211.139,-81.4058,179.06377,260.29565,-0.072463766,768.1652,5298.1133,2783.8203,8965.107,1880.1942,0,262.28406,-1.0927536,2896.6667
23160.154,-71.73913,179.04927,260.05798,-0.08695652,768.25507,5304.4897,2768.7651,8920.125,1879.9827,0,262.5768,-1.3275362,2890.0059
23072.379,-89.71884,179.05217,259.89856,-0.089855075,768.29565,5289.939,2759.0637,8881.125,1879.7362,0,262.47247,-1.4985508,2884.1042
22987.395,-124.78841,179.0232,259.84058,-0.10724638,768.26086,5301.3247,2749.6174,8835.049,1879.4985,0,262.24347,-1.6405797,2879.0725
