timestamp,hour,minute,lmp_avg
2023-10-01 07:10:00,7,10,38.518295
2023-10-01 07:15:00,7,15,37.260815
2023-10-01 07:20:00,7,20,35.522827
2023-10-01 07:25:00,7,25,36.798233
2023-10-01 07:30:00,7,30,35.556004
2023-10-01 07:35:00,7,35,35.27048
2023-10-01 07:40:00,7,40,34.612576
2023-10-01 07:45:00,7,45,34.837067
2023-10-01 07:50:00,7,50,34.81105
2023-10-01 07:55:00,7,55,34.81105
2023-10-01 08:00:00,8,0,34.81105
2023-10-01 08:05:00,8,5,37.400253
2023-10-01 08:10:00,8,10,36.625355
2023-10-01 08:15:00,8,15,36.566494
2023-10-01 08:20:00,8,20,36.291473
2023-10-01 08:25:00,8,25,36.563305
2023-10-01 08:30:00,8,30,35.969986
2023-10-01 08:35:00,8,35,35.502037
2023-10-01 08:40:00,8,40,35.502037
2023-10-01 08:45:00,8,45,35.12207
2023-10-01 08:50:00,8,50,32.007076
2023-10-01 08:55:00,8,55,32.007076
2023-10-01 09:00:00,9,0,31.871506
2023-10-01 09:05:00,9,5,32.470768
2023-10-01 09:10:00,9,10,32.0206
2023-10-01 09:15:00,9,15,32.12688
2023-10-01 09:20:00,9,20,32.46344
2023-10-01 09:25:00,9,25,32.14947
2023-10-01 09:30:00,9,30,31.79444
2023-10-01 09:35:00,9,35,31.148085
2023-10-01 09:40:00,9,40,31.566599
2023-10-01 09:45:00,9,45,31.682196
2023-10-01 09:50:00,9,50,31.614685
2023-10-01 09:55:00,9,55,31.615469
2023-10-01 10:00:00,10,0,31.777918
2023-10-01 10:05:00,10,5,32.707928
2023-10-01 10:10:00,10,10,32.633606
2023-10-01 10:15:00,10,15,32.087738
2023-10-01 10:20:00,10,20,32.04948
2023-10-01 10:25:00,10,25,31.643827
2023-10-01 10:30:00,10,30,31.636663
2023-10-01 10:35:00,10,35,31.595297
2023-10-01 10:40:00,10,40,31.57579
2023-10-01 10:45:00,10,45,31.596598
2023-10-01 10:50:00,10,50,31.557447
2023-10-01 10:55:00,10,55,31.558249
2023-10-01 11:00:00,11,0,31.536453
2023-10-01 11:05:00,11,5,31.38418
2023-10-01 11:10:00,11,10,31.651423
2023-10-01 11:15:00,11,15,31.53926
2023-10-01 11:20:00,11,20,31.174177
2023-10-01 11:25:00,11,25,31.06664
2023-10-01 11:30:00,11,30,31.110758
2023-10-01 11:35:00,11,35,31.042336
2023-10-01 11:40:00,11,40,31.37522
2023-10-01 11:45:00,11,45,31.49782
2023-10-01 11:50:00,11,50,31.601538
2023-10-01 11:55:00,11,55,31.651543
2023-10-01 12:00:00,12,0,31.852427
2023-10-01 12:05:00,12,5,31.085327
2023-10-01 12:10:00,12,10,31.082476
2023-10-01 12:15:00,12,15,31.19639
2023-10-01 12:20:00,12,20,30.816751
2023-10-01 12:25:00,12,25,32.061646
2023-10-01 12:30:00,12,30,32.07083
2023-10-01 12:35:00,12,35,31.494669
2023-10-01 12:40:00,12,40,31.604467
2023-10-01 12:45:00,12,45,31.936544
2023-10-01 12:50:00,12,50,33.318424
2023-10-01 12:55:00,12,55,33.318424
2023-10-01 13:00:00,13,0,34.176468
2023-10-01 13:05:00,13,5,30.207672
2023-10-01 13:10:00,13,10,31.031565
2023-10-01 13:15:00,13,15,31.39165
2023-10-01 13:20:00,13,20,31.457977
2023-10-01 13:25:00,13,25,34.105827
2023-10-01 13:30:00,13,30,35.253864
2023-10-01 13:35:00,13,35,39.009495
2023-10-01 13:40:00,13,40,37.072247
2023-10-01 13:45:00,13,45,38.4909
2023-10-01 13:50:00,13,50,38.669125
2023-10-01 13:55:00,13,55,37.484783
